Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 10:00,DUNWOD,61760,21.32166667,1.9,0
02/01/2020 10:00,GENESE,61753,19.20666667,-0.08,0
02/01/2020 10:00,H Q,61844,18.7925,-0.5,0
02/01/2020 10:00,HUD VL,61758,21.11833333,1.63,0
02/01/2020 10:00,LONGIL,61762,27.985,2.49,-2.13
02/01/2020 10:00,MHK VL,61756,20.12,0.6,0
02/01/2020 10:00,MILLWD,61759,21.2275,1.79,0
02/01/2020 10:00,N.Y.C.,61761,30.56583333,2.1,-0.02
02/01/2020 10:00,NORTH,61755,18.89833333,-0.55,0
02/01/2020 10:00,NPX,61845,21.125,1.7,-2.56
02/01/2020 10:00,O H,61846,18.52,-0.47,0
02/01/2020 10:00,PJM,61847,20.175,0.89,0
02/01/2020 10:00,WEST,61752,19.01083333,0.05,0
02/01/2020 11:00,CAPITL,61757,20.3125,1.17,0
02/01/2020 11:00,CENTRL,61754,19.38666667,0.32,0
02/01/2020 11:00,DUNWOD,61760,20.89083333,1.84,0
02/01/2020 11:00,GENESE,61753,18.76916667,-0.08,0
02/01/2020 11:00,H Q,61844,18.45333333,-0.51,0
02/01/2020 11:00,HUD VL,61758,20.6825,1.61,0
02/01/2020 11:00,LONGIL,61762,21.5325,2.43,-1.87
02/01/2020 11:00,MHK VL,61756,19.71333333,0.57,0
02/01/2020 11:00,MILLWD,61759,20.79833333,1.75,0
02/01/2020 11:00,N.Y.C.,61761,22.51333333,2.05,-0.86
02/01/2020 11:00,NORTH,61755,18.57416667,-0.58,0
02/01/2020 11:00,NPX,61845,22.35833333,1.66,-2.47
02/01/2020 11:00,O H,61846,18.06916667,-0.47,0
02/01/2020 11:00,PJM,61847,19.72916667,0.85,-0.06
02/01/2020 11:00,WEST,61752,18.54416667,0,0
02/01/2020 12:00,CAPITL,61757,20.17583333,1.13,0
02/01/2020 12:00,CENTRL,61754,19.3225,0.29,0
02/01/2020 12:00,DUNWOD,61760,20.78833333,1.82,0
02/01/2020 12:00,GENESE,61753,18.73,-0.09,0
02/01/2020 12:00,H Q,61844,18.37583333,-0.49,0
02/01/2020 12:00,HUD VL,61758,20.58,1.56,0
02/01/2020 12:00,LONGIL,61762,21.46166667,2.32,-2.02
02/01/2020 12:00,MHK VL,61756,19.61916667,0.53,0
02/01/2020 12:00,MILLWD,61759,20.69333333,1.7,0
02/01/2020 12:00,N.Y.C.,61761,22.98583333,2.02,-0.42
02/01/2020 12:00,NORTH,61755,18.50333333,-0.6,0
02/01/2020 12:00,NPX,61845,22.95833333,1.62,-2.21
02/01/2020 12:00,O H,61846,18.07083333,-0.44,0
02/01/2020 12:00,PJM,61847,19.67833333,0.82,-0.03
02/01/2020 12:00,WEST,61752,18.54333333,0,0
02/01/2020 13:00,CAPITL,61757,19.13583333,1.16,0
02/01/2020 13:00,CENTRL,61754,18.30333333,0.28,0
02/01/2020 13:00,DUNWOD,61760,19.75,1.81,0
02/01/2020 13:00,GENESE,61753,17.72666667,-0.09,0
02/01/2020 13:00,H Q,61844,17.44666667,-0.49,0
02/01/2020 13:00,HUD VL,61758,19.55,1.55,0
02/01/2020 13:00,LONGIL,61762,21.6875,2.38,-1.88
02/01/2020 13:00,MHK VL,61756,18.6125,0.52,0
02/01/2020 13:00,MILLWD,61759,19.66,1.69,0
02/01/2020 13:00,N.Y.C.,61761,21.5,2.01,-0.06
02/01/2020 13:00,NORTH,61755,17.57833333,-0.58,0
02/01/2020 13:00,NPX,61845,20.79833333,1.61,-2.08
02/01/2020 13:00,O H,61846,17.07166667,-0.46,0
02/01/2020 13:00,PJM,61847,18.64916667,0.81,0
02/01/2020 13:00,WEST,61752,17.51333333,-0.02,0
02/01/2020 14:00,CAPITL,61757,18.49416667,1.07,0
02/01/2020 14:00,CENTRL,61754,17.635,0.23,0
02/01/2020 14:00,DUNWOD,61760,19.08083333,1.71,0
02/01/2020 14:00,GENESE,61753,17.02666667,-0.15,0
02/01/2020 14:00,H Q,61844,16.83583333,-0.45,0
02/01/2020 14:00,HUD VL,61758,18.87916667,1.47,0
02/01/2020 14:00,LONGIL,61762,24.5375,2.19,-3.11
02/01/2020 14:00,MHK VL,61756,17.93333333,0.45,0
02/01/2020 14:00,MILLWD,61759,18.98916667,1.58,0
02/01/2020 14:00,N.Y.C.,61761,20.56333333,1.88,-0.02
02/01/2020 14:00,NORTH,61755,16.94333333,-0.54,0
02/01/2020 14:00,NPX,61845,19.08083333,1.52,-3.44
02/01/2020 14:00,O H,61846,16.37416667,-0.51,0
02/01/2020 14:00,PJM,61847,17.97166667,0.73,0
02/01/2020 14:00,WEST,61752,16.79333333,-0.11,0
02/01/2020 15:00,CAPITL,61757,19.00333333,1.03,0
02/01/2020 15:00,CENTRL,61754,18.14333333,0.22,0
02/01/2020 15:00,DUNWOD,61760,19.58083333,1.66,0
02/01/2020 15:00,GENESE,61753,17.51833333,-0.15,0
02/01/2020 15:00,H Q,61844,17.2975,-0.44,0
02/01/2020 15:00,HUD VL,61758,19.38333333,1.44,0
02/01/2020 15:00,LONGIL,61762,24.045,2.16,-3.83
02/01/2020 15:00,MHK VL,61756,18.43166667,0.44,0
02/01/2020 15:00,MILLWD,61759,19.48833333,1.54,0
02/01/2020 15:00,N.Y.C.,61761,21.62166667,1.83,-0.02
02/01/2020 15:00,NORTH,61755,17.42416667,-0.52,0
02/01/2020 15:00,NPX,61845,20.62916667,1.48,-4.06
02/01/2020 15:00,O H,61846,16.865,-0.47,0
02/01/2020 15:00,PJM,61847,18.48833333,0.73,0
02/01/2020 15:00,WEST,61752,17.29583333,-0.07,0
02/01/2020 16:00,CAPITL,61757,20.24416667,1.17,0
02/01/2020 16:00,CENTRL,61754,19.32833333,0.23,0
02/01/2020 16:00,DUNWOD,61760,20.81916667,1.91,0
02/01/2020 16:00,GENESE,61753,18.67,-0.22,0
02/01/2020 16:00,H Q,61844,18.4325,-0.49,0
02/01/2020 16:00,HUD VL,61758,20.62166667,1.67,0
02/01/2020 16:00,LONGIL,61762,23.34083333,2.47,-2.94
02/01/2020 16:00,MHK VL,61756,19.64916667,0.49,0
02/01/2020 16:00,MILLWD,61759,20.72583333,1.79,0
02/01/2020 16:00,N.Y.C.,61761,24.41833333,2.1,-0.12
02/01/2020 16:00,NORTH,61755,18.58333333,-0.57,0
02/01/2020 16:00,NPX,61845,22.98083333,1.7,-3.99
02/01/2020 16:00,O H,61846,17.94583333,-0.62,0
02/01/2020 16:00,PJM,61847,19.66333333,0.8,-0.01
02/01/2020 16:00,WEST,61752,18.41,-0.18,0
02/01/2020 17:00,CAPITL,61757,19.76833333,1.32,0
02/01/2020 17:00,CENTRL,61754,18.79916667,0.3,0
02/01/2020 17:00,DUNWOD,61760,20.26833333,2.22,0
02/01/2020 17:00,GENESE,61753,18.14583333,-0.21,0
02/01/2020 17:00,H Q,61844,17.2525,-0.57,0
02/01/2020 17:00,HUD VL,61758,20.08833333,1.92,0
02/01/2020 17:00,LONGIL,61762,20.90583333,2.86,-3.94
02/01/2020 17:00,MHK VL,61756,19.18916667,0.66,0
02/01/2020 17:00,MILLWD,61759,20.18166667,2.06,0
02/01/2020 17:00,N.Y.C.,61761,22.47916667,2.42,-1.77
02/01/2020 17:00,NORTH,61755,18.15166667,-0.66,0
02/01/2020 17:00,NPX,61845,24.86833333,1.94,-4.01
02/01/2020 17:00,O H,61846,17.3125,-0.78,0
02/01/2020 17:00,PJM,61847,18.32,0.89,0
02/01/2020 17:00,WEST,61752,17.76916667,-0.27,0
02/01/2020 18:00,CAPITL,61757,27.91583333,1.29,0
