Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 09:00,WEST,61752,15.79,0.08,0
02/01/2020 10:00,CAPITL,61757,17.33,1.18,0
02/01/2020 10:00,CENTRL,61754,16.49,0.34,0
02/01/2020 10:00,DUNWOD,61760,18.05,1.9,0
02/01/2020 10:00,GENESE,61753,16.07,-0.08,0
02/01/2020 10:00,H Q,61844,15.65,-0.5,0
02/01/2020 10:00,HUD VL,61758,17.78,1.63,0
02/01/2020 10:00,LONGIL,61762,20.77,2.49,-2.13
02/01/2020 10:00,MHK VL,61756,16.75,0.6,0
02/01/2020 10:00,MILLWD,61759,17.94,1.79,0
02/01/2020 10:00,N.Y.C.,61761,18.26,2.1,-0.02
02/01/2020 10:00,NORTH,61755,15.6,-0.55,0
02/01/2020 10:00,NPX,61845,20.4,1.7,-2.56
02/01/2020 10:00,O H,61846,15.68,-0.47,0
02/01/2020 10:00,PJM,61847,17.04,0.89,0
02/01/2020 10:00,WEST,61752,16.2,0.05,0
02/01/2020 11:00,CAPITL,61757,16.94,1.17,0
02/01/2020 11:00,CENTRL,61754,16.09,0.32,0
02/01/2020 11:00,DUNWOD,61760,17.62,1.84,0
02/01/2020 11:00,GENESE,61753,15.69,-0.08,0
02/01/2020 11:00,H Q,61844,15.27,-0.51,0
02/01/2020 11:00,HUD VL,61758,17.38,1.61,0
02/01/2020 11:00,LONGIL,61762,20.07,2.43,-1.87
02/01/2020 11:00,MHK VL,61756,16.34,0.57,0
02/01/2020 11:00,MILLWD,61759,17.52,1.75,0
02/01/2020 11:00,N.Y.C.,61761,18.68,2.05,-0.86
02/01/2020 11:00,NORTH,61755,15.19,-0.58,0
02/01/2020 11:00,NPX,61845,19.9,1.66,-2.47
02/01/2020 11:00,O H,61846,15.3,-0.47,0
02/01/2020 11:00,PJM,61847,16.68,0.85,-0.06
02/01/2020 11:00,WEST,61752,15.77,0,0
02/01/2020 12:00,CAPITL,61757,16.4,1.13,0
02/01/2020 12:00,CENTRL,61754,15.56,0.29,0
02/01/2020 12:00,DUNWOD,61760,17.09,1.82,0
02/01/2020 12:00,GENESE,61753,15.18,-0.09,0
02/01/2020 12:00,H Q,61844,14.78,-0.49,0
02/01/2020 12:00,HUD VL,61758,16.83,1.56,0
02/01/2020 12:00,LONGIL,61762,19.61,2.32,-2.02
02/01/2020 12:00,MHK VL,61756,15.81,0.53,0
02/01/2020 12:00,MILLWD,61759,16.97,1.7,0
02/01/2020 12:00,N.Y.C.,61761,17.71,2.02,-0.42
02/01/2020 12:00,NORTH,61755,14.68,-0.6,0
